name,username,description,possition,verified
Recombinetics,Recombinetics,"Biotech leader in precision breeding (Acceligen), biomed swine models for preclinical research (Surrogen) & oinkubators for regenerative medicine (Regenevida)",pro,FALSE
AZ Milk Producers,AzMilkProducers,Official Twitter account for AZ Milk Producers and Dairy Council of AZ. Encouraging everyone to get their 3 servings of delicious dairy everyday.,pro,FALSE
Rodolphe Barrangou,CRISPRchef,Distinguished professor of Food Science at @NCState. Leader of The @CRISPRlab. Editor-in-Chief of The @CRISPRjournal. #EverythingCRISPR,pro,FALSE
AquaBounty,AquaBountyFarms,"We provide fresh, nutritious Atlantic Salmon, genetically engineered once 30 years ago, and raised in safe, secure & sustainable land-based aquaculture farms.",pro,FALSE
Joe Bondy-Denomy,joeBondyDenomy,"BLACK LIVES MATTER. Associate Prof. @UCSF, Dept. of Micro & Imm. Toronto and Waterloo alum. Acrigen Biosciences co-founder. he/him/his",pro,FALSE
"Francoise Baylis, PhD",FrancoiseBaylis,"Author ""Altered Inheritance"", Philosopher, University Research Professor, Dalhousie University",pro,FALSE
Jacob Corn,jcornlab,"Genome editing, functional genomics, and cells figuring out how to eat themselves without dying. Professor of Genome Biology at ETH Zürich.",pro,FALSE
Dr. April Pawluk,AprilPawluk,Strategic Program Manager at Harvard Chan Microbiome in Public Health Center. 🇨🇦 PhD. Former Cell Press editor. Perpetually fascinated by microbes. (she/her),pro,FALSE
Jacob S. Sherkow 🦆💊🏸⚫,jsherkow,"Prof @UIllinoisLaw & @IGBIllinois; also @CeBIL_Center #patents, #IP, #biotech, #pharma, #bioethics. Ducks, drugs, and nicks that roll.",pro,FALSE
Sam Sternberg,shsternberg,"Assistant professor at Columbia University / CRISPR aficionado / Protein–RNA biochemist / Co-author with Jennifer Doudna of ""A Crack In Creation""",pro,FALSE
Dr. Joanne Kamens,JKamens,"Mom, Grandmother, Interim ED @BentleyCWB Proud founder @MassAWIS. Career, workplace and #Diversity rabble rouser, especially in STEM. Mentoring expert. She/Her",pro,TRUE
Dr. mem_somerville | Wossamotta U,mem_somerville,"The kind of independent scientist people claim they want to hear from, until they dislike the conclusions they hear. Spectacularly combustible. ""a real person?""",pro,FALSE
Synthego,Synthego,The Genome Engineering Platform Company. 🧬 #CRISPR #GenomeEngineer,pro,TRUE
GMO Evidence,GMOEvidence,GMO Evidence is a worldwide user-friendly library of evidence of harm caused by GMOs to animals and humans.,anti,FALSE
@pcronald,pcronald,UC Davis #rice geneticist & author of Tomorrow's Table: Organic #Farming Genetics & the Future of #Food. TED talk. My lab studies #immunity & #stress. #scicomm,pro,FALSE
Jon Entine,JonEntine,"Dad, journalist, iconoclast, founder https://t.co/VaCWq74soa - ag biotech/biomedicine/sustainability/ethics. Emmy-winning TV news producer, book author",pro,FALSE
Genetics & Genomics,ELS_Genetics,"Official page for Elsevier Genetics & Genomics books & journals. General genetics & genomics news, call for papers, special issues, content innovations & more!",pro,FALSE
Kevin Davies,KevinADavies,"Author ""EDITING HUMANITY: The CRISPR Revolution and the New Era of Genome Editing""; Exec Ed @CRISPRJournal, @GENbiotechjrnl; @hwaspeakers",pro,FALSE
Prof Alison Van Eenennaam (@BioBeef),BioBeef,"Animal 🐄 biotechnology/genetics, Uni of CA Davis, Mom, Consumer, Ag Science, 🇦🇺🇺🇸 Melbourne Uni, Food Evolution https://t.co/HGmEgkDYwX",pro,FALSE
